rid,Affiliation,Predictibility,Competence,Control,Self-image,Survival,Physical comfort,Morality,Distress tolerance,No Idea
rid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
48.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
88,NA,NA,NA,NA,X,NA,NA,NA,NA,NA
153.0,NA,NA,NA,NA,NA,NA,X,NA,NA,NA
168.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
160.0,NA,NA,NA,NA,NA,X,X,NA,NA,NA
135,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
163,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
94.0,NA,NA,NA,NA,NA,X,X,NA,NA,NA
117.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
90.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
31.0,NA,NA,X,NA,NA,NA,NA,NA,NA,NA
98.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
17,X,NA,NA,NA,X,NA,NA,NA,NA,NA
10.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
51.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
121.0,NA,X,NA,NA,NA,X,NA,NA,NA,NA
18.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
49.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
45.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
141.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
91.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
122.0,NA,NA,NA,NA,NA,X,NA,NA,NA,NA
29.0,NA,NA,NA,X,NA,NA,NA,NA,NA,NA
38,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
13.0,NA,NA,NA,NA,NA,NA,NA,X,NA,NA
114.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
169.0,NA,NA,NA,NA,NA,X,X,NA,NA,NA
102.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
2.0,NA,NA,NA,NA,NA,X,NA,NA,NA,NA
84.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
85.0,X,NA,X,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
170.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
