rid,Affiliation,Predictibility,Competence,Control,Self-image,Survival,Physical comfort,Morality,Distress tolerance,No Idea
120.0,NA,NA,NA,NA,X,NA,NA,NA,NA,NA
1.0,NA,X,NA,NA,NA,NA,X,NA,NA,NA
31,NA,NA,NA,X,NA,X,NA,NA,NA,NA
17.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
132.0,X,NA,NA,NA,X,NA,NA,NA,NA,NA
116,NA,NA,NA,X,NA,X,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
22.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
23.0,NA,NA,NA,NA,X,NA,NA,NA,NA,NA
37.0,NA,NA,NA,NA,X,NA,NA,NA,NA,NA
54.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
126.0,NA,NA,NA,X,NA,NA,NA,NA,NA,NA
127,NA,NA,NA,X,NA,NA,NA,NA,NA,NA
158.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
111.0,X,NA,NA,X,NA,NA,NA,NA,NA,NA
145.0,NA,NA,NA,NA,NA,X,X,NA,NA,NA
13.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
139.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
91.0,X,NA,NA,X,NA,NA,NA,NA,NA,NA
26.0,NA,X,NA,NA,NA,NA,NA,NA,NA,NA
154.0,NA,NA,X,X,NA,NA,NA,NA,NA,NA
51,NA,X,NA,X,NA,NA,NA,NA,NA,NA
30.0,NA,NA,NA,NA,X,NA,NA,NA,NA,NA
76.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
50,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
121.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
92.0,NA,NA,NA,NA,NA,X,X,NA,NA,NA
85.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
78.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
61.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81.0,NA,NA,NA,NA,NA,NA,X,NA,NA,NA
35.0,X,NA,NA,NA,X,NA,NA,NA,NA,NA
96,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
9.0,X,NA,NA,NA,NA,X,NA,NA,NA,NA
147.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
89,X,NA,NA,X,NA,NA,NA,NA,NA,NA
3.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
40.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
129.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
34.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
101.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
73.0,X,NA,NA,NA,X,NA,NA,NA,NA,NA
28,NA,X,NA,NA,NA,NA,NA,NA,NA,NA
71.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104.0,X,NA,X,NA,NA,NA,NA,NA,NA,NA
117.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
56.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
19.0,X,NA,NA,NA,NA,NA,X,NA,NA,NA
64.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
153.0,X,NA,NA,X,NA,NA,NA,NA,NA,NA
100.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
103.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
122.0,NA,NA,NA,NA,NA,X,NA,X,NA,NA
87.0,NA,NA,NA,X,NA,NA,NA,NA,NA,NA
149.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
98.0,NA,NA,X,NA,NA,NA,NA,NA,NA,NA
156.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
15.0,X,NA,NA,NA,X,NA,NA,NA,NA,NA
42.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
82.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
