rid,Affiliation,Predictibility,Competence,Control,Self-image,Survival,Physical comfort,Morality,Distress tolerance,No Idea
149.0,X,NA,NA,NA,X,NA,NA,NA,NA,NA
54,NA,NA,NA,NA,X,NA,NA,NA,NA,NA
13.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
39.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
34.0,NA,NA,X,NA,NA,NA,NA,NA,NA,NA
156,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
79.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
53,NA,NA,X,NA,NA,NA,NA,NA,NA,NA
94.0,NA,NA,NA,NA,NA,X,NA,NA,NA,NA
139.0,NA,NA,NA,NA,NA,X,NA,NA,NA,NA
130.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
22,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
115.0,NA,NA,NA,NA,NA,NA,X,NA,NA,NA
126.0,NA,NA,NA,NA,NA,X,X,NA,NA,NA
3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
110,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
140,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
31.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
68.0,NA,NA,X,NA,X,NA,NA,NA,NA,NA
95.0,NA,NA,NA,NA,NA,NA,NA,NA,X,NA
36.0,X,NA,NA,NA,X,NA,NA,NA,NA,NA
24.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,NA,NA,NA,NA,NA,X,NA,NA
16.0,NA,NA,NA,X,NA,NA,X,NA,NA,NA
17.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
148.0,NA,NA,NA,NA,NA,NA,X,NA,NA,NA
60.0,X,NA,NA,NA,NA,NA,NA,NA,NA,NA
144.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
99.0,NA,NA,X,X,NA,NA,NA,NA,NA,NA
11.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
137.0,NA,NA,NA,NA,NA,NA,NA,X,NA,NA
120,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
118.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,X
10.0,NA,X,NA,NA,NA,X,NA,NA,NA,NA
101,NA,NA,NA,NA,NA,NA,X,NA,NA,NA
21.0,NA,NA,NA,NA,NA,NA,NA,NA,X,NA
