rid,Affiliation,Predictibility,Competence,Control,Self-image,Survival,Physical comfort,Morality,Distress tolerance,No Idea
94.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
92.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
